"ASA Number","Epds>CeAcc","Epds>CeEpd","Epds>BirthWtAcc","Epds>BirthWtEpd","Epds>MceAcc","Epds>MceEpd","Epds>PpaAcc","Epds>PpaEpd","Epds>WeanWtAcc","Epds>WeanWtEpd","Epds>YearlingWtAcc","Epds>YearlingWtEpd","Epds>MarblingAcc","Epds>MarblingEpd","Epds>YieldGradeAcc","Epds>YieldGradeEpd","Epds>BackFatAcc","Epds>BackFatEpd","Epds>BackFatEpd","Epds>RibEyeAcc","Epds>RibEyeEpd","Epds>ShrForceAcc","Epds>ShrForceEpd","Epds>DauWtAcc","Epds>DauWtEpd","Epds>DauHtAcc","Epds>DauHtEpd","Epds>StayAcc","Epds>StayEpd","Epds>Api","Epds>Ti","Epds>FertAcc","Epds>FertEpd","Epds>MilkEpd","Epds>MilkAcc","Epds>MwwAcc","Epds>MwwEpd","Epds>CarcassWtAcc","Epds>CarcassWtEpd","Epds>DocEpd","Epds>DocAcc","Epds>AdgEpd","Epds>AdgAcc","Percentile>CE","Percentile>BW","Percentile>WW","Percentile>YW","Percentile>MCE","Percentile>Milk","Percentile>MWW","Percentile>Stay","Percentile>Doc","Percentile>CW","Percentile>YG","Percentile>Marb","Percentile>BF","Percentile>REA","Percentile>SF","Percentile>API","Percentile>TI","Percentile>ADG","BirthDam>ASA Number","BirthDam>Name","BirthDam>BirthDate","Sire>Name","Sire>ASA Number","Sire>Sire>ASA Number","Sire>Sire>Name","BirthDate","DamProgeny>Total","DamProgeny>Interval","DamProgeny>Males","DamProgeny>Females","DamProgeny>Avg Adj BW","DamProgeny>Avg Adj WW","DamProgeny>Avg Adj YW"
"(2847786)","0.39","19.1","0.48","-0.5","0.21","12.3","","","0.42","50.2","0.41","81.6","0.36","0.44","0.30","-0.18","0.29","-0.050","-0.050","0.37","0.80","","","","","","","0.21","13.8","129.7","65.4","","","32.0","0.40","0.43","57.0","0.38","57.6","9.1","0.41","0.20","0.41","2","30","95","85","1","2","35","70","80","1","70","25","50","20","","40","70","65","(2712487)","81TDK7604","2011-04-06","DIXON BLK TOP GRID X015","2576092","2473061","DIXON BLK TOP GRID U807","2013-02-19","4","381","1","3","76","495",""
"(2848015)","0.28","16.5","0.39","-2.6","0.21","9.5","","","0.33","58.8","0.32","92.4","0.24","0.37","0.21","-0.12","0.22","-0.004","-0.004","0.25","0.49","","","","","","","0.14","12.5","126.6","69.6","","","20.3","0.31","0.34","49.7","0.26","19.9","9.8","0.35","0.21","0.32","10","10","75","65","10","65","75","80","75","90","85","35","95","80","","45","50","55","(2712489)","81TDK7606","2011-03-30","GW PARAMOUNT 718Y","2605931","2414537","GW PREDESTINED 701T","2013-02-20","2","437","0","2","73","471","806"
"(2847982)","0.43","18.5","0.51","-3.2","0.26","8.9","","","0.45","63.1","0.45","100.9","0.36","0.49","0.34","-0.07","0.36","-0.010","-0.010","0.42","0.42","","","","","","","0.27","20.7","155.0","77.3","","","33.4","0.44","0.47","64.9","0.42","29.7","14.0","0.40","0.24","0.45","3","4","60","45","15","1","10","3","20","50","95","20","95","90","","4","20","35","(2712622)","81TDK7741","2011-03-01","GW PARAMOUNT 718Y","2605931","2414537","GW PREDESTINED 701T","2013-02-20","4","382","2","2","64","503","819"
"(2847972)","0.44","18.1","0.52","-3.5","0.30","11.3","","","0.48","58.6","0.48","89.5","0.42","0.31","0.36","-0.21","0.37","-0.004","-0.004","0.44","0.81","0.02","-0.36","","","","","0.31","20.9","143.6","70.4","","","30.1","0.46","0.49","59.3","0.45","24.3","18.6","0.42","0.19","0.48","3","3","75","70","2","3","25","3","1","75","60","45","95","20","35","15","45","70","(2712541)","81TDK7659","2011-03-01","GW PARAMOUNT 718Y","2605931","2414537","GW PREDESTINED 701T","2013-02-21","4","380","2","2","69","511","869"
"(2847996)","0.41","10.8","0.51","1.1","0.23","9.7","","","0.44","60.8","0.44","97.1","0.39","0.53","0.32","-0.24","0.32","-0.033","-0.033","0.40","0.72","","","","","","","0.26","14.5","126.8","71.2","","","30.5","0.44","0.47","60.8","0.41","27.9","7.5","0.41","0.23","0.44","65","65","70","55","10","3","20","65","90","60","50","15","65","35","","45","45","40","(2712624)","81TDK7743","2011-03-18","TRAXS VELOCITY Y7","2624432","2320695","S A V FINAL ANSWER 0035","2013-02-21","4","376","2","2","76","511","775"
"(2847782)","0.27","18.3","0.38","-3.9","0.20","7.6","","","0.32","49.2","0.31","76.0","0.27","0.30","0.25","-0.18","0.27","-0.008","-0.008","0.28","0.63","","","","","","","0.13","11.1","120.4","64.0","","","22.1","0.29","0.31","46.6","0.30","19.6","15.0","0.34","0.17","0.31","3","2","95","90","30","50","90","90","10","90","70","50","95","50","","60","75","80","(2712519)","81TDK7636","2011-04-30","GW PARAMOUNT 718Y","2605931","2414537","GW PREDESTINED 701T","2013-02-21","1","","1","0","69","504","721"
"(2847789)","0.23","13.8","0.37","0.1","0.17","9.8","","","0.29","50.3","0.28","84.3","0.22","0.49","0.20","-0.06","0.21","-0.015","-0.015","0.23","0.19","","","","","","","0.13","9.8","116.4","63.7","","","19.4","0.27","0.31","44.5","0.24","18.5","10.6","0.32","0.21","0.28","25","40","95","80","10","75","95","95","65","90","95","20","90","99","","70","75","55","(2712516)","81TDK7633","2011-03-26","GW NO FAULT 455W","2516219","2370545","GW PREMIUM BEEF 021TS","2013-02-22","2","378","1","1","80","396",""
"(2847791)","0.18","11.1","0.34","1.0","0.17","10.0","","","0.24","56.7","0.24","87.7","0.22","0.44","0.19","-0.04","0.20","0.004","0.004","0.22","0.37","","","","","","","0.13","13.2","116.5","63.9","","","15.1","0.21","0.26","43.3","0.23","26.3","27.0","0.28","0.19","0.24","60","65","80","75","10","99","95","75","1","65","95","25","99","95","","70","75","70","(2712437)","81TDK7553","2011-03-17","TRAXS VELOCITY Y7","2624432","2320695","S A V FINAL ANSWER 0035","2013-02-22","2","455","2","0","91","441",""
"(2847800)","0.41","12.4","0.51","1.0","0.24","9.1","","","0.46","64.2","0.47","103.5","0.40","0.37","0.34","0.04","0.36","-0.002","-0.002","0.41","-0.05","0.01","-0.29","","","","","0.25","19.0","129.8","67.8","","","23.7","0.44","0.47","55.7","0.43","14.9","6.8","0.44","0.25","0.47","45","65","55","40","15","35","45","15","95","95","99","35","95","99","75","40","60","25","(2712599)","81TDK7718","2011-02-23","GW RIGHT PATTERN 602Y","2605939","2516208","GW LUCKY TWO 435W","2013-02-22","4","368","3","1","84","499","862"
"(2847834)","0.42","20.6","0.50","-4.3","0.24","13.2","","","0.46","44.5","0.46","69.9","0.37","0.53","0.34","-0.14","0.35","0.004","0.004","0.42","0.47","","","","","","","0.26","16.5","145.7","68.5","","","32.7","0.44","0.47","54.9","0.42","8.7","11.7","0.43","0.16","0.46","1","2","99","95","1","1","50","40","45","99","80","15","99","80","","10","55","85","(9761428)","81TGQ3954","2011-04-14","S D S IN FORCE 112Y","2593861","2081939","HOOKS SHEAR FORCE 38K","2013-02-22","4","373","3","1","72","490","878"
