,ASA Number,Epds>CeAcc,Epds>CeEpd,Epds>BirthWtAcc,Epds>BirthWtEpd,Epds>MceAcc,Epds>MceEpd,Epds>PpaAcc,Epds>PpaEpd,Epds>WeanWtAcc,Epds>WeanWtEpd,Epds>YearlingWtAcc,Epds>YearlingWtEpd,Epds>MarblingAcc,Epds>MarblingEpd,Epds>YieldGradeAcc,Epds>YieldGradeEpd,Epds>BackFatAcc,Epds>BackFatEpd,Epds>BackFatEpd,Epds>RibEyeAcc,Epds>RibEyeEpd,Epds>ShrForceAcc,Epds>ShrForceEpd,Epds>DauWtAcc,Epds>DauWtEpd,Epds>DauHtAcc,Epds>DauHtEpd,Epds>StayAcc,Epds>StayEpd,Epds>Api,Epds>Ti,Epds>FertAcc,Epds>FertEpd,Epds>MilkEpd,Epds>MilkAcc,Epds>MwwAcc,Epds>MwwEpd,Epds>CarcassWtAcc,Epds>CarcassWtEpd,Epds>DocEpd,Epds>DocAcc,Epds>AdgEpd,Epds>AdgAcc,Percentile>CE,Percentile>BW,Percentile>WW,Percentile>YW,Percentile>MCE,Percentile>Milk,Percentile>MWW,Percentile>Stay,Percentile>Doc,Percentile>CW,Percentile>YG,Percentile>Marb,Percentile>BF,Percentile>REA,Percentile>SF,Percentile>API,Percentile>TI,Percentile>ADG,BirthDam>ASA Number,BirthDam>Name,BirthDam>BirthDate,Sire>Name,Sire>ASA Number,Sire>Sire>ASA Number,Sire>Sire>Name,BirthDate,DamProgeny>Total,DamProgeny>Interval,DamProgeny>Males,DamProgeny>Females,DamProgeny>Avg Adj BW,DamProgeny>Avg Adj WW,DamProgeny>Avg Adj YW,Bads,adf1,2616993,0.77,12.9,0.89,-0.2,0.64,8.4,,,0.86,61.0,0.86,104.7,0.71,0.81,0.55,0.03,0.62,0.002,0.002,0.69,0.24,0.17,-0.43,,,,,0.52,22.8,170.9,81.4,,,28.9,0.74,0.76,59.3,0.73,32.7,10.0,0.65,0.27,0.86,40,35,65,40,20,10,25,1,70,40,99,1,99,99,15,1,10,15,2356714,JC MISS USPB 610S,2006-02-11,GW PREDESTINED 701T,2414537,2191567,G A R PREDESTINED,2011-02-12,> 500,Sire,261,239,78,603,958,
2,2682376,0.45,17.2,0.56,-1.2,0.29,9.2,,,0.52,54.4,0.52,79.7,0.32,0.76,0.27,-0.16,0.28,-0.038,-0.038,0.33,0.57,0.04,-0.47,,,,,0.21,13.5,152.0,77.0,,,21.4,0.41,0.42,48.5,0.33,36.8,9.2,0.45,0.16,0.52,5,20,85,90,10,55,80,70,80,25,75,2,65,65,5,5,20,85,2430488,BAR CK ORACLE A205U,2008-02-05,TEX AMBUSH 9106,2571191,2329597,B/R AMBUSH 28,2012-01-15,19,Sire,9,10,77,479,720,
3,2809020,0.63,11.9,0.78,1.6,0.44,9.8,,,0.73,67.2,0.74,106.0,0.57,0.78,0.46,-0.07,0.48,-0.004,-0.004,0.57,0.80,0.17,-0.29,,,,,0.27,8.7,137.8,80.5,,,14.0,0.52,0.55,47.5,0.61,55.9,14.0,0.51,0.24,0.74,50,80,40,35,10,99,85,99,20,1,95,1,95,20,75,25,10,35,2480960,BAR CK MS VISION 520W,2009-05-20,TEX AMBUSH 9106,2571191,2329597,B/R AMBUSH 28,2012-10-04,159,Sire,90,69,80,545,956,
4,2854180,0.82,17.2,0.93,-2.8,0.53,12.8,,,0.91,75.8,0.91,112.5,0.68,0.60,0.47,-0.56,0.51,-0.055,-0.055,0.58,1.46,0.20,-0.46,,,,,0.42,20.9,183.5,95.1,,,25.3,0.65,0.66,63.1,0.63,21.1,12.7,0.36,0.23,0.91,1,1,20,25,1,20,15,10,20,85,10,1,99,1,5,1,1,35,2802160,HOOKS ZAFIRAH 41Z,2012-02-26,HOOKS SHEAR FORCE 38K,2081939,1937373,NICHOLS LEGACY G151,2014-02-17,> 500,Sire,241,259,79,611,1101,
5,2839832,0.71,23.7,0.86,-7.5,0.46,17.2,,,0.82,41.9,0.79,70.5,0.70,1.41,0.53,0.03,0.61,0.037,0.037,0.66,0.15,,,,,,,0.32,18.5,213.5,94.0,,,26.8,0.55,0.55,47.7,0.70,3.2,23.9,0.69,0.18,0.79,1,1,99,95,1,15,85,20,1,99,99,1,99,99,,1,1,75,2480970,BAR CK SHEER FORCE 1230U,2008-12-30,G A R PROGRESS,2570885,2191567,G A R PREDESTINED,2013-09-07,470,Sire,273,197,71,500,935,
6,3047505,0.60,21.9,0.72,-6.5,0.30,14.8,,,0.66,53.8,0.65,81.0,0.47,1.18,0.39,-0.28,0.39,-0.059,-0.059,0.50,0.39,0.18,-0.34,,,,,0.27,25.6,216.3,95.5,,,28.8,0.47,0.47,55.7,0.51,5.9,-0.9,0.47,0.17,0.65,1,1,90,85,1,10,45,1,99,99,40,1,40,90,45,1,1,80,2682358,BAR CK MS X38 106Z,2012-01-06,BAR CK TEBOW 1006X,2614607,2414537,GW PREDESTINED 701T,2015-03-29,87,Sire,71,16,71,505,892,
7,2912227,0.65,21.8,0.80,-5.4,0.34,12.7,,,0.74,57.0,0.71,81.2,0.60,0.88,0.46,-0.06,0.48,-0.013,-0.013,0.57,0.19,,,,,,,0.24,19.8,184.8,86.3,,,20.3,0.48,0.48,48.8,0.60,15.6,8.4,0.52,0.15,0.71,1,1,80,85,1,65,80,10,85,95,95,1,90,99,,1,2,90,2809071,BAR CK MS 6225 911Z,2012-09-11,BAR CK TEBOW 1006X,2614607,2414537,GW PREDESTINED 701T,2014-10-03,209,Sire,102,107,72,535,922,
8,2725976,0.40,13.8,0.52,-1.6,0.28,8.7,,,0.48,53.0,0.49,86.3,0.30,0.56,0.28,-0.19,0.29,-0.039,-0.039,0.34,0.37,0.05,-0.53,,,,,0.23,18.7,149.0,71.7,,,19.3,0.38,0.40,45.8,0.35,15.8,13.3,0.35,0.21,0.49,25,15,90,80,15,75,90,15,25,95,65,10,65,95,1,10,40,55,2325557,GW MISS NEW DEAL 725R,2005-02-08,GW PREMIUM BEEF 021TS,2370545,2224077,G A R US PREMIUM BEEF,2012-02-16,12,Sire,6,6,80,470,721,
9,2605931,0.76,16.9,0.89,-3.7,0.65,7.8,,,0.86,63.5,0.85,100.4,0.72,0.30,0.56,-0.26,0.62,-0.030,-0.030,0.72,0.71,0.17,-0.44,,,,,0.55,21.7,153.4,75.8,,,29.0,0.76,0.76,60.6,0.73,19.0,17.6,0.62,0.23,0.85,10,3,55,50,30,5,20,2,2,90,45,50,80,35,10,4,25,40,2472867,GW MISS PREM BEEF 545U,2008-02-08,GW PREDESTINED 701T,2414537,2191567,G A R PREDESTINED,2011-02-21,> 500,Sire,274,226,77,582,970,
10,2614607,0.72,19.0,0.87,-4.3,0.64,11.7,,,0.83,46.8,0.83,71.3,0.70,1.07,0.54,-0.20,0.62,-0.040,-0.040,0.67,0.39,0.17,-0.37,,,,,0.52,27.0,201.8,85.3,,,30.8,0.73,0.74,54.1,0.70,14.9,4.9,0.70,0.15,0.83,2,2,99,95,2,3,55,1,99,95,65,1,65,90,35,1,2,90,2480167,BAR CK MONEY MKR A1231U,2008-12-31,GW PREDESTINED 701T,2414537,2191567,G A R PREDESTINED,2010-10-06,466,Sire,231,235,77,534,914,
11,2702632,0.62,15.6,0.73,-1.0,0.40,6.2,,,0.69,52.4,0.69,83.1,0.57,0.96,0.45,-0.13,0.44,-0.023,-0.023,0.58,0.50,0.17,-0.37,,,,,0.24,20.1,174.4,81.5,,,29.0,0.50,0.52,55.1,0.59,30.2,11.7,0.53,0.19,0.69,15,20,90,85,55,5,50,5,45,50,85,1,80,75,35,1,10,70,2531896,BAR CK 401S 226X,2010-02-26,CONNEALY IN SURE 8524,2627830,2326312,MYTTY IN FOCUS,2012-12-19,97,Sire,47,50,75,526,914,
