,ASA Number,Epds>CeAcc,Epds>CeEpd,Epds>BirthWtAcc,Epds>BirthWtEpd,Epds>MceAcc,Epds>MceEpd,Epds>PpaAcc,Epds>PpaEpd,Epds>WeanWtAcc,Epds>WeanWtEpd,Epds>YearlingWtAcc,Epds>YearlingWtEpd,Epds>MarblingAcc,Epds>MarblingEpd,Epds>YieldGradeAcc,Epds>YieldGradeEpd,Epds>BackFatAcc,Epds>BackFatEpd,Epds>BackFatEpd,Epds>RibEyeAcc,Epds>RibEyeEpd,Epds>ShrForceAcc,Epds>ShrForceEpd,Epds>DauWtAcc,Epds>DauWtEpd,Epds>DauHtAcc,Epds>DauHtEpd,Epds>StayAcc,Epds>StayEpd,Epds>Api,Epds>Ti,Epds>FertAcc,Epds>FertEpd,Epds>MilkEpd,Epds>MilkAcc,Epds>MwwAcc,Epds>MwwEpd,Epds>CarcassWtAcc,Epds>CarcassWtEpd,Epds>DocEpd,Epds>DocAcc,Epds>AdgEpd,Epds>AdgAcc,Percentile>CE,Percentile>BW,Percentile>WW,Percentile>YW,Percentile>MCE,Percentile>Milk,Percentile>MWW,Percentile>Stay,Percentile>Doc,Percentile>CW,Percentile>YG,Percentile>Marb,Percentile>BF,Percentile>REA,Percentile>SF,Percentile>API,Percentile>TI,Percentile>ADG,BirthDam>ASA Number,BirthDam>Name,BirthDam>BirthDate,Sire>Name,Sire>ASA Number,Sire>Sire>ASA Number,Sire>Sire>Name,BirthDate,DamProgeny>Total,DamProgeny>Interval,DamProgeny>Males,DamProgeny>Females,DamProgeny>Avg Adj BW,DamProgeny>Avg Adj WW,DamProgeny>Avg Adj YW,Bads,adf
1,2711949,0.34,14.5,0.43,-2.7,0.12,9.6,,,0.34,35.0,0.35,53.9,0.27,0.37,0.27,-0.16,0.26,-0.028,-0.028,0.33,0.21,,,,,,,0.15,13.0,138.8,67.2,,,30.1,0.39,0.42,47.5,0.34,2.7,11.9,0.35,0.12,0.35,20,10,99,99,10,3,85,75,45,99,75,35,80,99,,20,60,99,2712794,81TXE2658,2006-03-24,,,,,2008-03-11,8,423,3,5,80,458,604,
2,9722128,0.13,14.3,0.26,-0.9,0.08,8.7,,,0.20,48.9,0.19,73.9,0.17,0.24,0.15,-0.06,0.16,-0.022,-0.022,0.18,0.22,,,,,,,0.01,7.8,105.7,59.3,,,17.5,0.21,0.28,41.9,0.19,24.8,8.5,0.20,0.16,0.19,20,25,95,95,15,90,99,99,85,75,95,60,80,99,,90,90,85,9682030,GRC312N,2003-03-01,,,,,2010-04-30,5,364,2,3,76,505,,
3,2712775,0.20,17.6,0.30,-2.8,0.08,10.8,,,0.20,45.1,0.21,66.8,0.23,0.07,0.18,-0.06,0.19,-0.020,-0.020,0.21,0.20,,,,,,,0.11,11.4,102.8,53.8,,,23.3,0.26,0.30,45.8,0.23,20.9,8.6,0.26,0.14,0.21,4,5,99,99,3,40,90,85,85,85,95,90,90,99,,90,99,95,2715505,PU032_,1999-01-01,CL 1 DOMINO 246M,2711403,9785825,CL 1 DOMINO 9126J,2006-03-21,6,513,3,3,78,452,,
4,9722293,0.15,15.5,0.28,-2.8,0.08,9.8,,,0.23,39.8,0.22,58.0,0.20,0.17,0.18,-0.19,0.18,-0.048,-0.048,0.21,0.35,,,,,,,0.03,6.9,94.9,53.5,,,25.5,0.24,0.29,45.3,0.22,19.8,10.7,0.20,0.11,0.22,15,5,99,99,10,20,90,99,60,90,65,75,50,95,,95,99,99,9682088,GRC642S,2006-03-01,,,,,2010-03-29,5,369,5,0,74,498,776,
5,2712610,0.32,13.5,0.40,-1.4,0.13,7.5,,,0.34,43.1,0.34,67.5,0.28,0.49,0.27,0.10,0.24,0.028,0.028,0.35,0.09,,,,,,,0.15,11.0,116.4,60.3,,,22.2,0.37,0.40,43.7,0.36,23.7,9.4,0.33,0.15,0.34,30,15,99,99,30,50,95,90,80,75,99,20,99,99,,70,90,90,2712861,81TMZ1415,2000-03-14,,,,,2011-03-31,6,368,5,1,75,464,,
6,2712577,0.42,17.3,0.50,-2.5,0.25,11.4,,,0.44,49.8,0.45,79.0,0.40,0.63,0.36,-0.11,0.38,-0.015,-0.015,0.43,0.64,,,,,,,0.24,15.1,143.1,70.8,,,23.1,0.47,0.49,48.0,0.46,40.6,11.5,0.43,0.18,0.45,5,10,95,90,2,40,85,55,50,15,90,5,90,50,,15,45,75,9634953,81TDK6192,2009-04-07,MCC DAYBREAK,2548901,2185781,BOYD NEW DAY 8005,2011-02-19,6,371,4,2,73,495,824,
7,9721996,0.29,8.4,0.42,2.0,0.23,2.3,,,0.31,58.7,0.30,91.2,0.29,0.27,0.25,-0.13,0.27,-0.026,-0.026,0.29,0.40,,,,,,,0.20,14.1,105.4,60.1,,,18.6,0.31,0.36,47.9,0.30,23.5,11.3,0.19,0.20,0.30,90,85,75,70,99,80,85,65,50,75,85,55,80,90,,90,90,65,9682240,GRC883U,2008-03-01,GW LUCKY CHARM 665K,2105876,1704719,LCHMAN LUCKY BUCK 7049C,2010-03-11,4,389,1,3,84,423,,
8,2712247,0.42,9.2,0.51,1.7,0.26,5.2,,,0.46,57.9,0.46,92.7,0.43,0.26,0.38,-0.08,0.42,-0.020,-0.020,0.45,0.42,0.11,-0.35,,,,,0.32,16.0,109.8,61.1,,,32.7,0.47,0.51,61.6,0.46,35.0,18.5,0.45,0.22,0.46,85,80,80,65,75,1,15,45,1,30,95,60,90,90,40,80,85,50,2712004,81TAH2702,2008-02-22,GW LUCKY CHARM 665K,2105876,1704719,LCHMAN LUCKY BUCK 7049C,2010-02-15,7,372,3,4,95,548,813,
9,2712214,0.43,8.2,0.51,1.9,0.27,3.6,,,0.45,55.7,0.46,85.5,0.43,0.30,0.37,-0.16,0.39,-0.046,-0.046,0.45,0.52,0.11,-0.35,,,,,0.32,16.5,110.2,60.7,,,34.5,0.48,0.51,62.3,0.47,39.4,23.5,0.45,0.19,0.46,90,85,85,80,90,1,15,40,1,15,75,50,50,75,40,80,85,70,2711971,81TAH2653,2008-03-14,GW LUCKY CHARM 665K,2105876,1704719,LCHMAN LUCKY BUCK 7049C,2010-02-20,7,370,5,2,97,558,804,
10,2712313,0.42,15.4,0.50,-0.7,0.25,8.5,,,0.43,55.3,0.44,90.8,0.36,0.45,0.35,-0.09,0.36,-0.021,-0.021,0.43,0.50,,,,,,,0.29,18.5,137.3,68.5,,,34.0,0.46,0.49,61.6,0.42,38.2,25.8,0.43,0.22,0.44,15,25,85,70,20,1,15,20,1,20,90,25,80,75,,25,55,50,2715436,BK311,2008-03-01,GW LUCKY CHARM 665K,2105876,1704719,LCHMAN LUCKY BUCK 7049C,2010-02-15,7,371,3,4,83,544,786,
