"ASA Number","Epds>CeAcc","Epds>CeEpd","Epds>BirthWtAcc","Epds>BirthWtEpd","Epds>MceAcc","Epds>MceEpd","Epds>PpaAcc","Epds>PpaEpd","Epds>WeanWtAcc","Epds>WeanWtEpd","Epds>YearlingWtAcc","Epds>YearlingWtEpd","Epds>MarblingAcc","Epds>MarblingEpd","Epds>YieldGradeAcc","Epds>YieldGradeEpd","Epds>BackFatAcc","Epds>BackFatEpd","Epds>BackFatEpd","Epds>RibEyeAcc","Epds>RibEyeEpd","Epds>ShrForceAcc","Epds>ShrForceEpd","Epds>DauWtAcc","Epds>DauWtEpd","Epds>DauHtAcc","Epds>DauHtEpd","Epds>StayAcc","Epds>StayEpd","Epds>Api","Epds>Ti","Epds>FertAcc","Epds>FertEpd","Epds>MilkEpd","Epds>MilkAcc","Epds>MwwAcc","Epds>MwwEpd","Epds>CarcassWtAcc","Epds>CarcassWtEpd","Epds>DocEpd","Epds>DocAcc","Epds>AdgEpd","Epds>AdgAcc","Percentile>CE","Percentile>BW","Percentile>WW","Percentile>YW","Percentile>MCE","Percentile>Milk","Percentile>MWW","Percentile>Stay","Percentile>Doc","Percentile>CW","Percentile>YG","Percentile>Marb","Percentile>BF","Percentile>REA","Percentile>SF","Percentile>API","Percentile>TI","Percentile>ADG","BirthDam>ASA Number","BirthDam>Name","BirthDam>BirthDate","Sire>Name","Sire>ASA Number","Sire>Sire>ASA Number","Sire>Sire>Name","BirthDate","DamProgeny>Total","DamProgeny>Interval","DamProgeny>Males","DamProgeny>Females","DamProgeny>Avg Adj BW","DamProgeny>Avg Adj WW","DamProgeny>Avg Adj YW"
"(2711892)","0.34","15.9","0.41","-2.5","0.11","9.9","","","0.34","34.9","0.35","54.5","0.25","0.10","0.25","-0.21","0.21","-0.051","-0.051","0.32","0.21","","","","","","","0.14","13.5","103.4","49.1","","","26.8","0.36","0.38","44.2","0.34","4.0","10.7","0.31","0.12","0.35","10","10","99","99","10","15","95","70","60","99","60","85","40","99","","90","99","99","(2715872)","EOR223","1993-01-01","LEACHMAN L-7 51B","(2708710)","(2708709)","L-7 455Z","2000-03-22","7","369","2","5","79","421","638"
"(2712165)","0.41","9.8","0.49","-0.1","0.22","4.6","","","0.43","51.7","0.43","78.0","0.36","0.55","0.33","-0.03","0.34","0.011","0.011","0.41","0.38","","","","","","","0.19","8.8","111.6","65.0","","","19.8","0.46","0.49","45.6","0.41","23.9","9.9","0.40","0.16","0.43","75","35","95","90","80","70","90","95","70","75","99","10","99","95","","80","70","85","(2713277)","81TJM0887","1999-03-01","HOMESTEAD BLOCKBUSTER 409","2107744","2074026","BON VIEW BANDO 598","2002-03-23","8","681","1","7","82","462","673"
"(2712812)","0.41","11.8","0.46","-1.2","0.23","5.0","","","0.38","31.3","0.38","45.9","0.36","0.21","0.33","-0.01","0.33","-0.004","-0.004","0.41","-0.02","","","","","","","0.19","9.6","90.9","45.7","","","20.2","0.42","0.45","35.8","0.42","8.3","10.8","0.39","0.09","0.38","50","20","99","99","75","65","99","95","60","99","99","70","95","99","","99","99","99","(2715330)","EOR104","1993-01-01","CIMARRON SUPERIOR 442","(9681534)","(9681533)","CIMARRON RULER 815","2003-03-22","6","366","3","3","83","401","648"
"(2712378)","0.40","16.3","0.46","-1.2","0.23","10.3","","","0.42","46.6","0.42","74.7","0.38","0.33","0.34","0.01","0.37","0.003","0.003","0.40","-0.01","","","","","","","0.25","15.8","122.3","59.5","","","27.9","0.43","0.45","51.2","0.43","9.3","10.5","0.40","0.18","0.42","10","20","99","95","4","10","70","50","65","99","99","45","99","99","","55","90","75","(2715899)","EYL023","1993-01-01","BON VIEW NEW DESIGN 878","2109292","2050397","B/R NEW DESIGN 036","2003-03-23","6","360","2","4","80","435","601"
"(2712720)","0.39","18.9","0.47","-2.0","0.21","11.9","","","0.42","44.5","0.42","72.9","0.37","0.61","0.33","0.05","0.34","0.014","0.014","0.40","0.00","","","","","","","0.21","11.5","133.0","66.3","","","27.5","0.44","0.47","49.7","0.41","12.3","6.9","0.39","0.18","0.42","2","10","99","95","1","10","75","85","95","99","99","10","99","99","","30","65","75","(2715469)","EBU385","2002-01-01","TC ADVANTAGE","2175261","2423331","KRUGERRAND OF DONAMERE 490","2004-02-12","7","616","3","4","81","467","755"
"(2712726)","0.42","11.7","0.49","0.4","0.24","4.4","","","0.39","44.0","0.39","68.8","0.35","0.55","0.32","0.15","0.33","0.051","0.051","0.39","0.02","","","","","","","0.19","7.5","130.7","71.4","","","28.6","0.43","0.48","50.6","0.41","16.9","11.8","0.40","0.15","0.39","55","50","99","99","85","10","75","99","45","95","99","10","99","99","","35","40","90","(2713424)","81TRA5060","2002-02-15","CIMARRON SUPERIOR 442","(9681534)","(9681533)","CIMARRON RULER 815","2004-02-19","7","373","4","3","88","524",""
"(2712690)","0.41","16.4","0.48","-1.9","0.22","10.7","","","0.42","47.2","0.43","76.5","0.35","0.62","0.34","0.00","0.36","0.011","0.011","0.40","0.06","","","","","","","0.23","10.4","129.3","67.7","","","23.7","0.44","0.46","47.3","0.40","6.5","7.2","0.40","0.18","0.43","10","10","99","90","3","35","85","90","95","99","99","10","99","99","","40","60","75","(2715468)","EBU292_","1999-01-01","TC ADVANTAGE","2175261","2423331","KRUGERRAND OF DONAMERE 490","2004-02-20","9","552","4","5","78","459","747"
"(2712683)","0.41","12.3","0.48","-1.1","0.23","5.6","","","0.38","32.1","0.38","51.7","0.39","0.34","0.33","0.02","0.35","0.025","0.025","0.40","-0.05","","","","","","","0.20","14.2","108.2","50.4","","","30.3","0.43","0.47","46.3","0.42","-5.3","2.7","0.40","0.12","0.38","45","20","99","99","65","3","90","65","99","99","99","40","99","99","","85","99","99","(2716247)","EBU028_","1999-01-01","CIMARRON SUPERIOR 442","(9681534)","(9681533)","CIMARRON RULER 815","2004-03-24","7","371","5","2","84","469",""
"(2712665)","0.37","14.0","0.47","-1.4","0.15","8.8","","","0.37","38.7","0.37","58.0","0.33","0.09","0.31","0.15","0.33","0.023","0.023","0.36","-0.08","","","","","","","0.17","11.7","117.4","58.5","","","23.2","0.42","0.46","42.5","0.37","24.3","16.6","0.39","0.12","0.37","25","15","99","99","15","40","95","85","3","75","99","90","99","99","","65","95","99","(2715546)","PK383","2001-03-18","CL 1 DOMINO 048K","(2708702)","(9813101)","HH ADVANTAGE 767G 1ET","2004-03-26","8","631","5","3","86","519",""
"(2712678)","0.41","11.2","0.48","0.0","0.25","6.4","","","0.42","40.7","0.43","63.8","0.40","0.47","0.34","0.01","0.35","0.020","0.020","0.42","0.06","","","","","","","0.25","17.7","122.7","56.8","","","22.7","0.45","0.47","43.0","0.43","3.2","10.3","0.42","0.14","0.43","60","40","99","99","50","45","95","25","65","99","99","20","99","99","","55","95","95","(2713054)","81TMZ1361","2000-02-04","BON VIEW NEW DESIGN 878","2109292","2050397","B/R NEW DESIGN 036","2004-03-27","7","546","3","4","93","470",""
"(2712686)","0.30","17.6","0.38","-2.5","0.10","10.3","","","0.33","44.9","0.33","70.0","0.29","0.40","0.28","0.13","0.30","0.045","0.045","0.34","0.17","","","","","","","0.13","5.8","108.3","59.6","","","12.2","0.36","0.38","34.6","0.33","24.8","17.4","0.31","0.16","0.33","4","10","99","95","4","99","99","99","2","75","99","30","99","99","","85","90","85","(2715476)","ERD302","2001-01-01","","","","","2004-04-07","6","370","2","4","70","396",""
"(2712691)","0.35","13.2","0.44","0.8","0.15","6.7","","","0.36","45.3","0.36","68.4","0.29","0.35","0.27","0.05","0.26","0.017","0.017","0.34","0.02","","","","","","","0.15","7.8","122.0","66.1","","","16.5","0.39","0.43","39.1","0.34","12.2","10.2","0.37","0.14","0.36","35","60","99","99","45","95","99","99","70","99","99","40","99","99","","55","65","95","(2713049)","81TMY8641","2001-03-25","","","","","2004-04-15","8","578","2","6","87","437","631"
"(2712655)","0.32","14.8","0.40","-1.7","0.10","9.1","","","0.34","47.0","0.34","75.4","0.31","0.28","0.27","0.03","0.30","0.020","0.020","0.32","0.13","","","","","","","0.14","7.4","101.8","58.5","","","24.3","0.36","0.38","47.8","0.33","13.1","10.3","0.33","0.18","0.34","20","15","99","95","15","30","85","99","65","99","99","55","99","99","","90","95","75","(2715860)","EGR156","1993-01-01","","","","","2004-04-17","7","370","5","2","79","436",""
"(2712660)","0.31","17.6","0.39","-2.6","0.09","10.7","","","0.33","45.0","0.33","71.6","0.33","0.34","0.28","0.02","0.29","0.021","0.021","0.34","0.19","","","","","","","0.14","4.3","103.6","60.3","","","24.3","0.36","0.38","46.7","0.36","15.3","9.6","0.34","0.17","0.33","4","10","99","95","3","30","85","99","75","95","99","40","99","99","","90","90","80","(2715464)","EBU044_","1999-01-01","","","","","2004-04-22","6","373","3","3","74","409",""
"(2712725)","0.33","14.9","0.42","-1.2","0.13","8.5","","","0.35","45.1","0.35","71.1","0.28","0.58","0.28","0.18","0.28","0.047","0.047","0.34","-0.10","","","","","","","0.15","10.7","122.3","62.6","","","15.5","0.39","0.42","38.0","0.34","15.1","12.8","0.35","0.16","0.35","20","20","99","95","20","95","99","90","30","95","99","10","99","99","","55","80","85","(2715529)","EGR004","1993-01-01","","","","","2004-04-23","8","631","3","5","76","408",""
"(2713154)","0.35","13.1","0.46","-1.4","0.14","9.8","","","0.35","38.1","0.36","57.3","0.30","0.25","0.27","0.14","0.26","0.016","0.016","0.35","-0.04","","","","","","","0.15","12.1","125.8","62.2","","","24.3","0.41","0.46","43.3","0.34","28.5","4.8","0.38","0.12","0.36","35","15","99","99","10","30","95","80","99","55","99","60","99","99","","50","80","99","(2712392)","81TRA7680","2003-04-13","CL1 DOMINO 1172L","(2708700)","(9813101)","HH ADVANTAGE 767G 1ET","2005-02-13","8","365","3","5","75","475","639"
"(2713100)","0.41","14.3","0.47","-0.1","0.22","9.3","","","0.42","56.5","0.43","88.4","0.40","0.41","0.35","-0.06","0.36","-0.008","-0.008","0.42","0.20","","","","","","","0.26","13.5","121.9","65.7","","","22.3","0.44","0.46","50.4","0.44","15.0","4.7","0.41","0.20","0.43","20","35","80","75","10","50","75","70","99","95","95","30","95","99","","55","70","65","(2715953)","YL175","2000-01-01","BON VIEW NEW DESIGN 878","2109292","2050397","B/R NEW DESIGN 036","2005-03-18","8","363","2","6","78","498","754"
"(2713096)","0.40","8.1","0.48","-0.1","0.22","4.5","","","0.42","45.0","0.42","72.6","0.39","0.51","0.34","0.04","0.34","0.034","0.034","0.42","0.32","","","","","","","0.26","14.6","116.8","60.8","","","30.8","0.44","0.47","53.2","0.43","23.7","10.0","0.41","0.17","0.42","90","35","99","95","80","3","60","60","70","75","99","15","99","99","","70","85","80","(2715777)","PK199_","1996-01-01","BON VIEW NEW DESIGN 878","2109292","2050397","B/R NEW DESIGN 036","2005-03-25","8","579","4","4","90","477",""
"(2713258)","0.40","17.5","0.48","-1.4","0.21","8.9","","","0.37","40.5","0.38","64.0","0.35","0.34","0.31","0.08","0.31","0.032","0.032","0.37","0.01","","","","","","","0.21","9.9","110.3","56.4","","","30.1","0.42","0.46","50.3","0.41","9.9","10.7","0.40","0.15","0.38","5","15","99","99","15","3","75","95","60","99","99","40","99","99","","80","95","90","(2715441)","BU309","2002-04-20","CIMARRON SUPERIOR 442","(9681534)","(9681533)","CIMARRON RULER 815","2005-04-06","8","583","6","2","76","499",""
"(2712784)","0.32","14.4","0.39","-1.9","0.10","8.8","","","0.33","40.4","0.33","63.0","0.29","0.34","0.27","-0.11","0.28","-0.004","-0.004","0.32","0.01","","","","","","","0.13","10.1","108.1","56.6","","","23.3","0.36","0.38","43.4","0.34","-14.6","11.9","0.31","0.14","0.33","20","10","99","99","15","40","95","95","45","99","90","40","95","99","","85","95","95","(2715820)","BU052_","1997-01-01","","","","","2006-01-18","6","363","4","2","83","473",""
"(2712745)","0.40","12.3","0.49","0.2","0.21","4.6","","","0.38","40.9","0.38","61.6","0.33","0.09","0.31","0.19","0.30","0.038","0.038","0.39","-0.11","","","","","","","0.17","12.9","115.3","57.2","","","21.0","0.43","0.47","41.4","0.39","23.7","15.2","0.41","0.13","0.38","45","45","99","99","80","60","99","75","10","75","99","90","99","99","","70","95","99","(2712665)","81TSR7062","2004-03-26","CIMARRON SUPERIOR 442","(9681534)","(9681533)","CIMARRON RULER 815","2006-02-19","7","363","4","3","85","518","696"
"(2712767)","0.32","14.2","0.39","-1.4","0.21","8.9","","","0.32","47.4","0.32","77.5","0.30","0.68","0.26","0.19","0.27","0.062","0.062","0.32","0.02","","","","","","","0.18","12.5","156.2","78.5","","","20.1","0.36","0.39","43.8","0.32","18.5","2.5","0.33","0.19","0.32","25","15","99","90","15","70","95","80","99","90","99","3","99","99","","3","15","70","(2712709)","81TSR7210 - WT697","2004-04-03","N BAR PRIME TIME D806","2178379","2069651","GARDENS PRIME TIME","2006-02-20","8","539","3","5","79","453","806"
